timestamp,symbol,signal,volume,mean_volume,current_pct,price_threshold,trail_stop_pct,green_volume,green_price,red_price
2026-07-13 01:27:16.237018,RKLB,none,445766.0,530716.8571428572,-0.29494899840237077,0.7055334584747628,0.7055334584747628,False,False,False
2026-07-13 01:27:16.428455,QNT,none,48689.0,56702.857142857145,-0.382598838033153,0.7356295204496384,0.7356295204496384,False,False,False
2026-07-13 01:27:16.623337,SATL,none,151067.0,166355.14285714287,0.2722159730033596,0.23565291256572507,0.4,False,True,False
2026-07-13 01:27:16.802878,NBIS,none,359934.0,434189.71428571426,-0.3604740233406981,0.93714956760204,0.93714956760204,False,False,False
2026-07-13 01:27:16.992595,INTC,none,2515745.0,2810508.1428571427,0.036376864314301795,0.5076713378148957,0.5076713378148957,False,False,False
2026-07-13 01:27:17.184575,MRVL,none,379937.0,411137.0,0.09310986964618201,0.5364102691301955,0.5364102691301955,False,False,False
2026-07-13 01:27:17.366360,AMKR,none,75185.0,120880.42857142857,0.014114326040938768,0.3916967737507156,0.4,False,False,False
2026-07-13 01:27:17.554125,NVTS,none,378243.0,434318.0,0.0744878957169444,0.35695477026052214,0.4,False,False,False
2026-07-13 01:27:17.750681,ON,none,195750.0,222960.85714285713,0.3878406708595286,0.4686947624546987,0.4686947624546987,False,False,False
2026-07-13 01:27:17.935205,AOSL,none,7455.0,9227.142857142857,-0.05317734645040154,0.5344889451950281,0.5344889451950281,False,False,False
2026-07-13 01:27:18.226674,JOBY,none,1548261.0,1942732.5714285714,-0.25773195876288113,0.23111522228114112,0.4,False,False,True
2026-07-13 01:27:18.417201,IONQ,none,317572.0,421359.0,-0.20852641334568192,0.5487036160051717,0.5487036160051717,False,False,False
2026-07-13 01:27:18.615476,BKSY,BUY,177048.0,91501.0,1.0690789473684128,0.36699169244336927,0.4,True,True,False
2026-07-13 01:27:18.817694,TEAM,none,99891.0,86718.14285714286,0.5556815604445394,0.41440007097196707,0.41440007097196707,False,True,False
2026-07-13 01:27:19.006296,CRWD,none,388523.0,348930.4285714286,0.12315270935961566,0.3473916480923964,0.4,False,False,False
2026-07-13 01:27:19.210350,SHOP,none,166728.0,171904.85714285713,0.09726049602853344,0.627147592169246,0.627147592169246,False,False,False
2026-07-13 09:58:18.578791,RKLB,none,1012520.0,671103.0,-0.12322858903266608,0.4860404214463043,0.4860404214463043,True,False,False
2026-07-13 09:58:18.760294,QNT,none,162799.0,53792.71428571428,0.15647226173541884,0.7545225681908834,0.7545225681908834,True,False,False
2026-07-13 09:58:18.942287,SATL,BUY,451114.0,162641.2857142857,1.571268237934911,0.21619410896111713,0.4,True,True,False
2026-07-13 09:58:19.130374,NBIS,SELL,680212.0,421141.5714285714,-0.6962654851252466,0.47943543618919615,0.47943543618919615,True,False,True
2026-07-13 09:58:19.319819,INTC,none,5078021.0,3250478.714285714,-0.17269587347754747,0.5131044446021052,0.5131044446021052,True,False,False
2026-07-13 09:58:19.513861,MRVL,none,827825.0,649641.1428571428,-0.3130287648054184,0.5491578417421075,0.5491578417421075,False,False,False
2026-07-13 09:58:19.702907,AMKR,SELL,522783.0,133035.42857142858,-0.5644933672029434,0.3706572720684723,0.4,True,False,True
2026-07-13 09:58:19.883807,NVTS,none,1010060.0,504857.85714285716,0.14886490509861983,0.26752766654639376,0.4,True,False,False
2026-07-13 09:58:20.071324,ON,none,663182.0,256318.7142857143,0.240158713584634,0.5257707573897625,0.5257707573897625,True,False,False
2026-07-13 09:58:20.258921,AOSL,none,27457.0,10535.714285714286,-0.1595320393512424,0.4468839972448629,0.4468839972448629,True,False,False
2026-07-13 09:58:20.443794,JOBY,SELL,2777820.0,1811449.0,-0.3875968992248094,0.3084348099100054,0.4,True,False,True
2026-07-13 09:58:20.621678,IONQ,SELL,1101177.0,559799.1428571428,-0.44134727061555806,0.346145260939107,0.4,True,False,True
2026-07-13 09:58:20.801061,BKSY,BUY,311488.0,96964.85714285714,1.9934906427990318,0.6633152139861425,0.6633152139861425,True,True,False
2026-07-13 09:58:20.982346,TEAM,none,225267.0,91363.71428571429,0.2255808707421643,0.5173746643289432,0.5173746643289432,True,False,False
2026-07-13 09:58:21.169431,CRWD,none,811498.0,387208.28571428574,0.09626698042571763,0.2849200682015792,0.4,True,False,False
2026-07-13 09:58:21.353601,SHOP,SELL,480062.0,191857.42857142858,-0.7773908818527766,0.52628881691295,0.52628881691295,True,False,True
2026-07-13 10:28:22.207220,RKLB,SELL,2573506.0,811188.4285714285,-1.7017017017017009,0.39073710593320166,0.4,True,False,True
2026-07-13 10:28:27.431908,QNT,SELL,152601.0,70070.85714285714,-3.414285714285715,0.6758185675268111,0.6758185675268111,True,False,True
2026-07-13 10:28:30.136289,SATL,SELL,345974.0,197805.2857142857,-1.6519823788546295,0.6203853306215472,0.6203853306215472,True,False,True
2026-07-13 10:28:32.839706,NBIS,SELL,1077114.0,469155.14285714284,-1.4575203347595065,0.6856174825900043,0.6856174825900043,True,False,True
2026-07-13 10:28:36.557761,INTC,SELL,10689050.0,4004140.0,-0.39708802117802944,0.25806389157687504,0.4,True,False,True
2026-07-13 10:28:39.258606,MRVL,SELL,3460338.0,901066.5714285715,-3.9359748097612175,0.43554158506934293,0.43554158506934293,True,False,True
2026-07-13 10:28:42.024684,AMKR,none,230703.0,149081.57142857142,-0.34155034155034747,0.43039314057673933,0.43039314057673933,True,False,False
2026-07-13 10:28:42.208593,NVTS,SELL,1395545.0,640025.0,-1.8063028439661755,0.31218713807597964,0.4,True,False,True
2026-07-13 10:28:44.915504,ON,SELL,669391.0,310580.5714285714,-0.893049279104797,0.4601462813525128,0.4601462813525128,True,False,True
2026-07-13 10:28:48.625554,AOSL,none,23085.0,14317.42857142857,0.2519596864501775,0.2626198096905721,0.4,True,False,False
2026-07-13 10:28:48.817527,JOBY,SELL,3034212.0,1864054.2857142857,-0.39787798408488395,0.347790802754373,0.4,True,False,True
2026-07-13 10:28:51.522737,IONQ,SELL,2095742.0,729530.8571428572,-3.9458046113620244,0.47163381280150757,0.47163381280150757,True,False,True
2026-07-13 10:28:54.218697,BKSY,BUY,308350.0,135943.14285714287,4.23661071143085,1.1395102541044855,1.1395102541044855,True,True,False
2026-07-13 10:28:57.426453,TEAM,BUY,252352.0,123576.57142857143,0.918141592920352,0.3800758072720227,0.4,True,True,False
2026-07-13 10:29:00.638792,CRWD,SELL,841537.0,419350.71428571426,-0.8556607305203608,0.2578568515508841,0.4,True,False,True
2026-07-13 10:29:03.339882,SHOP,SELL,642138.0,247949.0,-1.6041065126724414,0.4548884652225089,0.4548884652225089,True,False,True
2026-07-13 10:59:04.291554,RKLB,none,1074100.0,876834.5714285715,0.0,0.7499002557940218,0.7499002557940218,False,False,False
2026-07-13 10:59:04.471959,QNT,none,122768.0,78134.0,0.029607698001474496,1.5991649855837324,1.5991649855837324,True,False,False
2026-07-13 10:59:04.657721,SATL,none,233919.0,202182.85714285713,0.11198208286673894,1.115980044277936,1.115980044277936,False,False,False
2026-07-13 10:59:04.877101,NBIS,none,624036.0,512209.14285714284,4.062052505966583,1.1120836715850442,1.1120836715850442,False,True,False
2026-07-13 10:59:05.066794,INTC,none,6411066.0,4447075.857142857,0.3511769172361471,0.19821533634662755,0.4,False,True,False
2026-07-13 10:59:05.254199,MRVL,none,1243578.0,1022528.5714285715,1.43753980529524,1.4266275913797606,1.4266275913797606,False,True,False
2026-07-13 10:59:05.445058,AMKR,none,209559.0,172154.57142857142,1.2950282822268386,0.4152441293481999,0.4152441293481999,False,True,False
2026-07-13 10:59:05.632767,NVTS,BUY,1158564.0,708537.2857142857,2.545027407987479,0.6760609099438859,0.6760609099438859,True,True,False
2026-07-13 10:59:08.331565,ON,none,489323.0,349448.28571428574,0.3148409510368106,0.6470641803487522,0.6470641803487522,False,False,False
2026-07-13 10:59:08.530476,AOSL,BUY,28583.0,15606.857142857143,1.117006422786927,0.18729429227375494,0.4,True,True,False
2026-07-13 10:59:11.223761,JOBY,none,2239225.0,2013341.0,1.3315579227696477,0.428593786668785,0.428593786668785,False,True,False
2026-07-13 10:59:11.410623,IONQ,none,1841116.0,927447.8571428572,0.44543429844099686,1.5862348412896252,1.5862348412896252,True,False,False
2026-07-13 10:59:11.597355,BKSY,none,120667.0,144691.14285714287,-1.38621486330381,2.3737887367017647,2.3737887367017647,False,False,False
2026-07-13 10:59:11.782904,TEAM,BUY,300841.0,161719.42857142858,1.513821851689348,0.6047740361630114,0.6047740361630114,True,True,False
2026-07-13 10:59:14.487497,CRWD,none,401088.0,434893.71428571426,1.0576300453270062,0.4633113427257829,0.4633113427257829,False,True,False
2026-07-13 10:59:14.675288,SHOP,none,316779.0,278935.0,0.5292297671389071,0.8408745707663449,0.8408745707663449,False,False,False
2026-07-13 11:29:15.448543,RKLB,none,777017.0,933857.4285714285,-0.5218276695939883,0.6543822543245172,0.6543822543245172,False,False,False
2026-07-13 11:29:15.638555,QNT,none,35108.0,80972.57142857143,-0.6978470675575337,1.4852526584280672,1.4852526584280672,False,False,False
2026-07-13 11:29:15.824679,SATL,none,139777.0,211932.2857142857,-0.5592841163310843,1.0822346017978919,1.0822346017978919,False,False,False
2026-07-13 11:29:16.010059,NBIS,none,450415.0,524778.4285714285,-0.4403467730837941,2.1701561846287856,2.1701561846287856,False,False,False
2026-07-13 11:29:16.200668,INTC,none,5637751.0,4799513.428571428,-0.3310631857737366,0.2926583287826798,0.4,False,False,True
2026-07-13 11:29:16.388450,MRVL,none,965578.0,1080517.857142857,-0.24211989418463528,1.7554659291748653,1.7554659291748653,False,False,False
2026-07-13 11:29:16.576568,AMKR,none,97286.0,176775.57142857142,-0.6024096385542118,0.7616296148587137,0.7616296148587137,False,False,False
2026-07-13 11:29:16.764574,NVTS,none,530655.0,704871.0,-1.0309278350515447,1.4059619628106326,1.4059619628106326,False,False,False
