timestamp,symbol,broker,action,price,size,position_after
2026-07-23 10:27:27.092175,LITE,ibkr,enter_long,864.4,10.0,long
2026-07-23 10:27:33.091000,CRDO,ibkr,enter_long,237.59,10.0,long
2026-07-23 10:27:36.081255,MXL,ibkr,enter_long,92.24,10.0,long
2026-07-23 10:27:39.081557,NBIS,ibkr,enter_long,226.19,10.0,long
2026-07-23 10:27:43.652994,MRVL,ibkr,enter_long,212.45,10.0,long
2026-07-23 10:27:46.725379,ARM,ibkr,enter_long,282.03,10.0,long
2026-07-23 10:27:49.926703,INTC,ibkr,enter_long,103.45,10.0,long
2026-07-23 10:27:57.273625,IREN,ibkr,enter_long,42.58,10.0,long
2026-07-23 10:32:40.642536,MRVL,ibkr,exit_long_trail,210.54,10.0,flat
2026-07-23 10:32:52.600317,IREN,ibkr,exit_long_trail,42.3,10.0,flat
2026-07-23 10:33:35.264209,LITE,ibkr,exit_long_trail,855.0,10.0,flat
2026-07-23 10:33:36.046378,CRDO,ibkr,exit_long_trail,235.0,10.0,flat
2026-07-23 10:44:50.129059,NBIS,ibkr,exit_long_trail,219.8,10.0,flat
2026-07-23 10:48:28.550390,ARM,ibkr,exit_long_trail,278.35,10.0,flat
2026-07-23 11:07:36.968651,INTC,ibkr,exit_long_trail,101.13,10.0,flat
2026-07-23 11:11:08.694675,MXL,ibkr,exit_long_trail,90.37,10.0,flat
2026-07-23 11:58:28.031796,RCL,ibkr,enter_short,283.33,10.0,short
2026-07-23 11:58:36.992096,JOBY,ibkr,enter_short,7.52,10.0,short
2026-07-23 13:29:03.029630,AMD,ibkr,enter_short,535.03,10.0,short
2026-07-23 13:29:10.359101,QNT,ibkr,enter_long,56.78,10.0,long
2026-07-23 14:21:07.100403,QNT,ibkr,exit_long_trail,54.82,10.0,flat
2026-07-23 14:29:33.111902,APTV,ibkr,enter_short,56.06,10.0,short
2026-07-23 14:29:38.057533,REZI,ibkr,enter_short,34.1,10.0,short
2026-07-23 14:29:41.055105,BROS,ibkr,enter_short,63.43,10.0,short
2026-07-23 14:29:45.392641,MWH,ibkr,enter_short,29.65,10.0,short
2026-07-23 14:59:59.595462,HPE,ibkr,enter_short,47.65,10.0,short
2026-07-23 15:30:12.933135,CVNA,ibkr,enter_short,60.09,10.0,short
2026-07-23 15:54:32.023920,BROS,ibkr,exit_short_trail,63.87,10.0,flat
2026-07-23 15:55:29.372734,REZI,ibkr,exit_short_trail,34.29,10.0,flat
