wall_clock,bar_time(oldest),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-11T16:56:00.989138-04:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,1.154055,-1.0,1.154245,-1.0,1.15428,-1.0,1.154145,-1.0,1.154195,-1.0
2026-08-11T17:11:01.173193-04:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,1.154055,-1.0,1.154245,-1.0,1.15428,-1.0,1.154145,-1.0,1.154215,-1.0
2026-08-11T17:26:01.977530-04:00,15:00:00,15:30:00,16:00:00,16:30:00,17:15:00,1.154245,-1.0,1.15428,-1.0,1.154145,-1.0,1.154215,-1.0,1.154015,-1.0
2026-08-11T17:41:02.763611-04:00,15:30:00,16:00:00,16:30:00,17:15:00,17:30:00,1.15428,-1.0,1.154145,-1.0,1.154215,-1.0,1.15401,-1.0,1.154115,-1.0
