wall_clock,bar_date,open,high,low,close,volume
2026-08-10T16:49:39.749009-04:00,2026-08-10 14:30:00-04:00,193.2,193.91,193.12,193.64,221609.0
2026-08-10T16:49:39.749009-04:00,2026-08-10 15:00:00-04:00,193.64,194.99,193.64,194.64,321963.0
2026-08-10T16:49:39.749009-04:00,2026-08-10 15:30:00-04:00,194.66,194.87,192.47,192.81,1153265.0
2026-08-11T01:29:39.489588-04:00,2026-08-10 14:30:00-04:00,193.2,193.91,193.12,193.64,221609.0
2026-08-11T01:29:39.489588-04:00,2026-08-10 15:00:00-04:00,193.64,194.99,193.64,194.64,321963.0
2026-08-11T01:29:39.489588-04:00,2026-08-10 15:30:00-04:00,194.66,194.87,192.47,192.81,1153265.0
2026-08-11T01:59:40.304950-04:00,2026-08-10 14:30:00-04:00,193.2,193.91,193.12,193.64,221609.0
2026-08-11T01:59:40.304950-04:00,2026-08-10 15:00:00-04:00,193.64,194.99,193.64,194.64,321963.0
2026-08-11T01:59:40.304950-04:00,2026-08-10 15:30:00-04:00,194.66,194.87,192.47,192.81,1153265.0
2026-08-11T02:29:41.193220-04:00,2026-08-10 14:30:00-04:00,193.2,193.91,193.12,193.64,221609.0
2026-08-11T02:29:41.193220-04:00,2026-08-10 15:00:00-04:00,193.64,194.99,193.64,194.64,321963.0
2026-08-11T02:29:41.193220-04:00,2026-08-10 15:30:00-04:00,194.66,194.87,192.47,192.81,1153265.0
2026-08-11T02:59:42.072233-04:00,2026-08-10 14:30:00-04:00,193.2,193.91,193.12,193.64,221609.0
2026-08-11T02:59:42.072233-04:00,2026-08-10 15:00:00-04:00,193.64,194.99,193.64,194.64,321963.0
2026-08-11T02:59:42.072233-04:00,2026-08-10 15:30:00-04:00,194.66,194.87,192.47,192.81,1153265.0
2026-08-11T03:29:42.815927-04:00,2026-08-10 14:30:00-04:00,193.2,193.91,193.12,193.64,221609.0
2026-08-11T03:29:42.815927-04:00,2026-08-10 15:00:00-04:00,193.64,194.99,193.64,194.64,321963.0
