time,open,high,low,close,Long Entry,Short Entry,Long Exit,Short Exit,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
1755541800,45.16,45.53,45.1,45.3054,0,0,0,0,746333,54.772310043077226,62.17150223373043,,,,,19.45706697750927
1755543600,45.33,45.535,45.18,45.234,0,0,0,0,610963,53.895039567344185,61.675256000118274,,,,,18.28072330051864
1755545400,45.24,45.26,44.9,44.95,0,0,0,0,1150065,50.4347895437712,60.79977633807857,,,,,17.225159208343026
1755610200,45,45.16,42.4715,43.07,0,0,0,0,5139493,34.59883232529107,59.28694227293176,,,,,18.79909758424617
1755612000,43.07,43.23,42.12,42.16,0,0,0,0,2097648,29.732384478201112,57.474119901866814,,,,,20.497520899483305
1755613800,42.1542,42.43,41.77,41.9,0,0,0,0,1886997,28.499004319704127,54.67685092650303,,,,,22.30151480183469
1755615600,41.91,42.14,41.65,41.98,0,0,0,0,1111440,29.468512731618233,51.68423066597236,,,,,24.054207448008906
1755617400,41.97,42.31,41.8,42.057,0,0,0,0,692009,30.44607971868585,48.615062190209485,,,,,25.37091486978206
1755619200,42.06,42.15,41.56,41.78,0,0,0,0,760740,28.894573567433426,45.58230948113017,,,,,26.770662642045245
1755621000,41.79,41.885,41.16,41.21,0,0,0,0,1266058,25.962660519545807,42.68519097063214,,,,,28.352737813157635
1755622800,41.195,41.31,40.9,41.28,0,0,0,0,982872,26.943062383162555,40.03416987197209,,,,,29.99645193813416
1755624600,41.28,41.57,41.25,41.4708,0,0,0,0,576520,29.676558455568042,37.91855809391803,,,,,30.99275122404295
1755626400,41.48,41.485,41.24,41.415,0,0,0,0,434340,29.33091910955146,36.14219476974223,,,,,31.925999699431966
1755628200,41.4189,41.46,41.22,41.325,0,0,0,0,348880,28.749311497393066,34.38600273288194,,,,,32.80995144246566
1755630000,41.32,41.32,40.995,41.1138,0,0,0,0,907142,27.37738013622952,32.42922202524996,,,,,33.82974386227149
1755631800,41.12,41.22,40.91,40.91,0,0,0,0,1541235,26.083864110934996,30.442709492649303,,,,,34.852064170054135
1755696600,40.21,40.86,38.38,38.94,0,0,0,0,4439210,17.484320331047,28.089104548883295,,,,,37.245802990271656
1755698400,38.93,39.6,38.5,38.64,0,0,0,0,2212100,16.58746339301122,26.802578196577592,,,,,39.468560466187924
1755700200,38.639,38.95,38.26,38.5962,0,0,0,0,1187268,16.45475348836179,25.854175983017637,,,,,41.62550583784382
1755702000,38.57,39.724475,38.5602,39.71,0,0,0,0,1370138,31.469699707907623,26.06636851074646,,,,,42.112564962619516
1755703800,39.71,40.03,39.22,39.36,0,0,0,0,1071765,29.665442765519487,26.080434941739405,,,,,42.029832218005495
1755705600,39.37,40.13,39.33,40.105,0,0,0,0,854898,37.83543422333712,26.608245977785923,,,,,41.77707409788539
1755707400,40.1007,40.11,39.72,39.88,0,0,0,0,585690,36.45804356600805,27.148493834826972,,,,,41.54237012920244
1755709200,39.86,40.09,39.8,40.01,0,0,0,0,444134,37.86550562524825,27.99869705666286,,,,,41.32443072971112
1755711000,40.01,40.24,39.96,40.1734,0,0,0,0,490275,39.674229918943205,28.908066166361476,,,,,40.808476449717666
1755712800,40.155,40.19,39.7501,39.85,0,0,0,0,506509,37.356421595713265,29.456627819228995,,,,,40.54398447834962
1755714600,39.86,40.15,39.77,39.915,0,0,0,0,477790,38.13867285266139,30.08575308659399,,,,,40.298384790650715
1755716400,39.915,40.48,39.915,40.37,0,0,0,0,586412,43.46098871045347,31.136587173241164,,,,,39.318682316903
1755718200,40.37,40.77,40.3351,40.7,0,0,0,0,1189207,47.02116145662672,32.539714410412394,,,,,37.79668152157367
1755783000,40.78,41.195,40.22,40.78,0,0,0,0,1348331,47.878011005326236,34.0964391885832,,,,,35.56949270526423
1755784800,40.775,41.38,40.631,41.3737,0,0,0,0,783770,53.8441168002217,36.69356750780996,,,,,33.17161562288536
1755786600,41.35,41.51,41.0325,41.4508,0,0,0,0,660297,54.57134689581559,39.40670204372456,,,,,30.890589296106878
1755788400,41.4701,41.6786,41.16,41.46,0,0,0,0,744266,54.663140905236425,42.13587257350132,,,,,29.071861244286833
1755790200,41.46,41.83,41.27,41.3684,0,0,0,0,739095,53.50392991213423,43.7097461595175,,,,,27.649334770715445
1755792000,41.37,41.52,41.0704,41.33,0,0,0,0,489368,52.996546907458146,45.3762535982274,,,,,25.915164418401975
1755793800,41.328,41.5997,41.1466,41.24,0,0,0,0,470855,51.75769016624688,46.37070045129239,,,,,24.458667981950637
1755795600,41.25,41.415,40.9201,41.0536,0,0,0,0,441204,49.19283161650751,47.28032816918521,,,,,22.79826692957119
1755797400,41.065,41.5908,41.04,41.315,0,0,0,0,475002,52.73047559262376,48.34211173828346,,,,,21.449438196178885
1755799200,41.31,41.48,41.2,41.4002,0,0,0,0,470657,53.85819842861006,49.35525234611681,,,,,20.1969543723146
1755801000,41.42,41.64,41.33,41.6,0,0,0,0,443802,56.480289161663094,50.721242886541795,,,,,19.382321166289394
1755802800,41.59,41.87,41.545,41.79,0,0,0,0,691081,58.873691431416724,52.20231564216717,,,,,19.100529997080937
1755804600,41.79,41.86,41.47,41.54,0,0,0,0,2844561,54.617395872369876,52.99920186801835,,,,,18.633165550255544
1755869400,40.97,41.96,40.4194,41.47,0,0,0,0,1261012,53.45214781896625,53.458558036756884,,,,,18.60363367792405
1755871200,41.48,43.55,41.48,43.06,0,0,0,0,2485258,69.41425512450141,54.996861188126545,,,,,18.576524374130894
1755873000,43.03,44.11,43,43.87,0,0,0,0,2217706,74.25728835975168,56.454944870950115,,,,,19.16283196537162
1755874800,43.8401,44.255,43.73,44.01,0,0,0,0,1146955,74.99428476417452,57.913726147261464,,,,,19.8555897712442
1755876600,44.02,44.24,43.83,43.92,0,0,0,0,739245,73.53676400496838,59.261842082956605,,,,,20.49886487669731
1755878400,43.9083,44.2,43.77,44.01,0,0,0,0,806429,74.07928707065615,60.731510451422466,,,,,20.972588473237362
