tuned_at,ticker,timeframe,run_start,run_end,vol_len,vol_multiplier,price_move_pct,trail_stop_pct,body_ratio_threshold,trade_count,win_rate,total_pnl,expectancy
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,2.5,0.7,100,0.43,60.46176415486387,0.6046176415486387
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,3.0,0.3,110,0.43636363636363634,45.42645545718649,0.41296777688351355
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,3.0,0.5,103,0.42718446601941745,76.38820679823353,0.7416330757110051
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,3.0,0.7,90,0.4444444444444444,83.50760961306058,0.9278623290340065
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,3.5,0.3,106,0.39622641509433965,69.99665657011407,0.6603458166991893
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,3.5,0.5,101,0.39603960396039606,109.83864439465673,1.0875113306401656
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,0.8,3.5,0.7,90,0.4444444444444444,111.5612472865428,1.2395694142949198
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,1.0,0.3,183,0.3879781420765027,-31.471390344168135,-0.1719748106238696
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,1.0,0.5,169,0.378698224852071,-25.022668705468263,-0.14806312843472344
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,1.0,0.7,135,0.4074074074074074,17.501963761801065,0.12964417601334122
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,1.5,0.3,152,0.40789473684210525,-20.578248060241194,-0.13538321092263944
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,1.5,0.5,142,0.3873239436619718,-24.825782092412666,-0.1748294513550188
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,1.5,0.7,118,0.4067796610169492,-17.290491193307666,-0.14652958638396327
2026-07-26 12:46:26.357126,VOYG,30m,2026-05-01 09:30:00-04:00,2026-07-26,5,0.5,1.0,2.0,0.3,133,0.42105263157894735,63.79406370670853,0.47965461433615436
