wall_clock,bar_time(oldest),bar_time(newest-13),bar_time(newest-12),bar_time(newest-11),bar_time(newest-10),bar_time(newest-9),bar_time(newest-8),bar_time(newest-7),bar_time(newest-6),bar_time(newest-5),bar_time(newest-4),bar_time(newest-3),bar_time(newest-2),bar_time(newest-1),bar_time(newest),price_close(oldest),volume(oldest),price_close(newest-13),volume(newest-13),price_close(newest-12),volume(newest-12),price_close(newest-11),volume(newest-11),price_close(newest-10),volume(newest-10),price_close(newest-9),volume(newest-9),price_close(newest-8),volume(newest-8),price_close(newest-7),volume(newest-7),price_close(newest-6),volume(newest-6),price_close(newest-5),volume(newest-5),price_close(newest-4),volume(newest-4),price_close(newest-3),volume(newest-3),price_close(newest-2),volume(newest-2),price_close(newest-1),volume(newest-1),price_close(newest),volume(newest)
2026-08-12T02:01:53.756817-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T02:32:04.880411-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T03:02:16.217833-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T03:32:27.098428-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T04:02:38.017074-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T04:32:49.014530-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T05:02:59.906538-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T05:33:10.822993-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T06:03:21.899283-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T06:33:32.914575-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T07:03:43.815787-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T07:33:54.730552-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T08:04:05.663687-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T08:34:16.505690-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T09:04:27.512046-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T09:34:38.207948-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,388.61,79485.0,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0
2026-08-12T10:04:49.248547-04:00,,,,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,,,,,,,387.24,66352.0,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,424.66,527199.0
2026-08-12T10:35:00.101697-04:00,,,,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,,,,,,,387.28,41430.0,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,425.63,117718.0
2026-08-12T11:05:11.138407-04:00,,,,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,,,,,,,386.84,53924.0,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,436.55,84258.0
2026-08-12T11:35:22.004198-04:00,,,,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,,,,,,,386.4,63232.0,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.38,79977.0
2026-08-12T12:05:32.800200-04:00,,,,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,,,,,,,385.57,58877.0,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,436.15,161109.0
2026-08-12T12:35:44.069541-04:00,,,,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,,,,,,,385.94,24234.0,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,439.35,79633.0
2026-08-12T13:05:57.240373-04:00,,,,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,,,,,,,387.02,27066.0,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.41,85209.0
2026-08-12T13:36:08.053977-04:00,,,,14:00:00,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,,,,,,,385.64,34322.0,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,439.26,97563.0
2026-08-12T14:06:19.463390-04:00,,,,14:30:00,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,,,,,,,386.63,51662.0,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,443.99,82609.0
2026-08-12T14:36:31.978602-04:00,,,,15:00:00,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,,,,,,,386.79,50803.0,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,443.19,83244.0
2026-08-12T15:06:43.027841-04:00,,,,15:30:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,,,,,,,387.37,162771.0,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,440.74,141155.0,439.0,113263.0
2026-08-12T15:36:55.005555-04:00,,,,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,,,,,,,431.08,674084.0,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,440.74,141155.0,435.91,143649.0,434.22,55454.0
2026-08-12T16:07:06.377187-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,440.74,141155.0,435.91,143649.0,432.5,95783.0,434.28,244899.0
2026-08-12T16:37:18.986839-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,440.74,141155.0,435.91,143649.0,432.5,95783.0,432.01,734863.0
2026-08-12T17:07:30.643795-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,440.74,141155.0,435.91,143649.0,432.5,95783.0,432.01,734863.0
2026-08-12T17:37:41.711610-04:00,,,,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,,,,,,,427.39,163835.0,433.56,206140.0,435.12,120600.0,438.54,191431.0,441.35,153011.0,438.95,123716.0,440.79,120616.0,445.28,141607.0,440.74,141155.0,435.91,143649.0,432.5,95783.0,432.01,734863.0
